date,close_price
2017-06-27,18.65
2017-06-28,18.69
2017-06-29,19.02
2017-06-30,19.12
2017-07-03,19.4
2017-07-04,19.02
2017-07-05,19.12
2017-07-06,19.02
2017-07-07,18.93
2017-07-10,18.46
2017-07-11,18.46
2017-07-12,18.09
2017-07-13,18.32
2017-07-14,18.09
2017-07-17,17.71
2017-07-18,17.76
2017-07-19,17.85
2017-07-20,18.37
2017-07-21,18.04
2017-07-24,18.18
2017-07-25,19.21
2017-07-26,19.3
2017-07-27,19.4
2017-07-28,19.68
2017-07-31,20.8
2017-08-01,20.8
2017-08-02,21.04
2017-08-03,21.46
2017-08-04,20.99
2017-08-07,21.08
2017-08-08,21.18
2017-08-09,19.73
2017-08-10,19.63
2017-08-11,19.63
2017-08-14,20.11
2017-08-15,19.63
2017-08-16,19.34
2017-08-17,18.57
2017-08-18,19.1
2017-08-21,19
2017-08-22,18.52
2017-08-23,18.76
2017-08-24,19.15
2017-08-25,19.1
2017-08-28,19
2017-08-29,19
2017-08-30,18.71
2017-08-31,20.02
2017-09-01,20.36
2017-09-05,20.26
2017-09-06,19.92
2017-09-07,20.16
2017-09-08,19.68
2017-09-11,19.53
2017-09-12,19.82
2017-09-13,19.82
2017-09-14,19.97
2017-09-15,19.73
2017-09-18,19.82
2017-09-19,19.97
2017-09-20,19.82
2017-09-21,20.16
2017-09-22,19.92
2017-09-25,19.73
2017-09-26,19.73
2017-09-27,19.53
2017-09-28,19
2017-09-29,18.95
2017-10-02,19.05
2017-10-03,19.2
2017-10-04,19.39
2017-10-05,19.24
2017-10-06,19.29
2017-10-09,19.34
2017-10-10,19.34
2017-10-11,19.63
2017-10-12,19.49
2017-10-13,19.53
2017-10-16,19.68
2017-10-17,20.79
2017-10-18,20.69
2017-10-19,20.55
2017-10-20,20.69
2017-10-23,20.21
2017-10-24,20.07
2017-10-25,20.31
2017-10-26,20.02
2017-10-27,20.5
2017-10-30,21.13
2017-10-31,21.13
2017-11-01,21.66
2017-11-02,21.18
2017-11-03,21.66
2017-11-06,22.1
2017-11-07,22.1
